"","countrycode","rank","countryname","gdpinusd"
"171","CPV",166,"Cape Verde",1827
"172","BTN",167,"Bhutan",1780
"173","LBR",168,"Liberia",1734
"174","BLZ",169,"Belize",1493
"175","TMP",170,"Timor-Leste",1293
"176","LCA",171,"St. Lucia",1239
"177","ATG",172,"Antigua and Barbuda",1134
"178","SYC",173,"Seychelles",1129
"179","SLB",174,"Solomon Islands",1008
"180","GMB",175,"Gambia, The",917
"181","GNB",176,"Guinea-Bissau",822
"182","VUT",177,"Vanuatu",787
"183","GRD",178,"Grenada",767
"184","KNA",178,"St. Kitts and Nevis",767
"185","VCT",180,"St. Vincent and the Grenadines",713
"186","WSM",181,"Samoa",684
"187","COM",182,"Comoros",596
"188","DMA",183,"Dominica",480
"189","TON",184,"Tonga",472
"190","FSM",185,"Micronesia, Fed. Sts.",326
"191","STP",186,"São Tomé and Principe",263
"192","PLW",187,"Palau",228
"193","MHL",188,"Marshall Islands",182
"194","KIR",189,"Kiribati",175
"195","TUV",190,"Tuvalu",40
